# tijd (s), versnelling (m/s^2)
2.994991652754591005e+00,5.567999999999999616e-01
3.005008347245408995e+00,5.567999999999999616e-01
3.015025041736226985e+00,5.567999999999999616e-01
3.025041736227044975e+00,5.567999999999999616e-01
3.035058430717862965e+00,5.567999999999999616e-01
3.045075125208680955e+00,5.567999999999999616e-01
3.055091819699498945e+00,5.567999999999999616e-01
3.065108514190316935e+00,5.567999999999999616e-01
3.075125208681135369e+00,5.567999999999999616e-01
3.085141903171953359e+00,5.567999999999999616e-01
3.095158597662771349e+00,5.567999999999999616e-01
3.105175292153589339e+00,5.567999999999999616e-01
3.115191986644407329e+00,5.567999999999999616e-01
3.125208681135225319e+00,5.567999999999999616e-01
3.135225375626043309e+00,5.567999999999999616e-01
3.145242070116861299e+00,5.567999999999999616e-01
3.155258764607679289e+00,5.567999999999999616e-01
3.165275459098497279e+00,5.567999999999999616e-01
3.175292153589315269e+00,5.567999999999999616e-01
3.185308848080133703e+00,5.567999999999999616e-01
3.195325542570951693e+00,5.567999999999999616e-01
3.205342237061769683e+00,5.567999999999999616e-01
3.215358931552587674e+00,5.567999999999999616e-01
3.225375626043405664e+00,5.567999999999999616e-01
3.235392320534223654e+00,5.567999999999999616e-01
3.245409015025041644e+00,5.567999999999999616e-01
3.255425709515859634e+00,5.567999999999999616e-01
3.265442404006677624e+00,5.567999999999999616e-01
3.275459098497495614e+00,5.567999999999999616e-01
3.285475792988313604e+00,5.567999999999999616e-01
3.295492487479132038e+00,5.567999999999999616e-01
3.305509181969950028e+00,5.567999999999999616e-01
3.315525876460768018e+00,5.567999999999999616e-01
3.325542570951586008e+00,5.567999999999999616e-01
3.335559265442403998e+00,5.567999999999999616e-01
3.345575959933221988e+00,5.567999999999999616e-01
3.355592654424039978e+00,5.567999999999999616e-01
3.365609348914857968e+00,5.567999999999999616e-01
3.375626043405675958e+00,5.567999999999999616e-01
3.385642737896493948e+00,5.567999999999999616e-01
3.395659432387311938e+00,5.567999999999999616e-01
3.405676126878130372e+00,5.567999999999999616e-01
3.415692821368948362e+00,5.567999999999999616e-01
3.425709515859766352e+00,5.567999999999999616e-01
3.435726210350584342e+00,5.567999999999999616e-01
3.445742904841402332e+00,5.567999999999999616e-01
3.455759599332220322e+00,5.567999999999999616e-01
3.465776293823038312e+00,5.567999999999999616e-01
3.475792988313856302e+00,5.567999999999999616e-01
3.485809682804674292e+00,5.567999999999999616e-01
3.495826377295492282e+00,5.567999999999999616e-01
3.505843071786310272e+00,5.567999999999999616e-01
3.515859766277128706e+00,5.567999999999999616e-01
3.525876460767946696e+00,5.567999999999999616e-01
3.535893155258764686e+00,5.567999999999999616e-01
3.545909849749582676e+00,5.567999999999999616e-01
3.555926544240400666e+00,5.567999999999999616e-01
3.565943238731218656e+00,5.567999999999999616e-01
3.575959933222036646e+00,5.567999999999999616e-01
3.585976627712854636e+00,5.567999999999999616e-01
3.595993322203672626e+00,5.567999999999999616e-01
3.606010016694490616e+00,5.567999999999999616e-01
3.616026711185308606e+00,5.567999999999999616e-01
3.626043405676127040e+00,5.567999999999999616e-01
3.636060100166945031e+00,5.567999999999999616e-01
3.646076794657763021e+00,5.567999999999999616e-01
3.656093489148581011e+00,5.567999999999999616e-01
3.666110183639399001e+00,5.567999999999999616e-01
3.676126878130216991e+00,5.567999999999999616e-01
3.686143572621034981e+00,5.567999999999999616e-01
3.696160267111852971e+00,5.567999999999999616e-01
3.706176961602670961e+00,5.567999999999999616e-01
3.716193656093488951e+00,5.567999999999999616e-01
3.726210350584306941e+00,5.567999999999999616e-01
3.736227045075125375e+00,5.567999999999999616e-01
3.746243739565943365e+00,5.567999999999999616e-01
3.756260434056761355e+00,5.567999999999999616e-01
3.766277128547579345e+00,5.567999999999999616e-01
3.776293823038397335e+00,5.567999999999999616e-01
3.786310517529215325e+00,5.567999999999999616e-01
3.796327212020033315e+00,5.567999999999999616e-01
3.806343906510851305e+00,5.567999999999999616e-01
3.816360601001669295e+00,5.567999999999999616e-01
3.826377295492487285e+00,5.567999999999999616e-01
3.836393989983305275e+00,5.567999999999999616e-01
3.846410684474123265e+00,5.567999999999999616e-01
3.856427378964941699e+00,5.567999999999999616e-01
3.866444073455759689e+00,5.567999999999999616e-01
3.876460767946577679e+00,5.567999999999999616e-01
3.886477462437395669e+00,5.567999999999999616e-01
3.896494156928213659e+00,5.567999999999998506e-01
3.906510851419031649e+00,5.567999999999998506e-01
3.916527545909849639e+00,5.567999999999997396e-01
3.926544240400667629e+00,5.567999999999996286e-01
3.936560934891485619e+00,5.567999999999992955e-01
3.946577629382303609e+00,5.567999999999988514e-01
3.956594323873121599e+00,5.567999999999978522e-01
3.966611018363940033e+00,5.567999999999960759e-01
3.976627712854758023e+00,5.567999999999929672e-01
3.986644407345576013e+00,5.567999999999870830e-01
3.996661101836394003e+00,5.567999999999766469e-01
4.006677796327211993e+00,5.567999999999573291e-01
4.016694490818029983e+00,5.567999999999222460e-01
4.026711185308847973e+00,5.567999999998580751e-01
4.036727879799665963e+00,5.567999999997411686e-01
4.046744574290483953e+00,5.567999999995280058e-01
4.056761268781301943e+00,5.567999999991390947e-01
4.066777963272119933e+00,5.567999999984297732e-01
4.076794657762937923e+00,5.567999999971361413e-01
4.086811352253755913e+00,5.567999999947765843e-01
4.096828046744573903e+00,5.567999999904726938e-01
4.106844741235391893e+00,5.567999999826228619e-01
4.116861435726209884e+00,5.567999999683050927e-01
4.126878130217028762e+00,5.567999999421902046e-01
4.136894824707846752e+00,5.567999998945580842e-01
4.146911519198664742e+00,5.567999998076798018e-01
4.156928213689482732e+00,5.567999996492185577e-01
4.166944908180300722e+00,5.567999993601940867e-01
4.176961602671118712e+00,5.567999988330293304e-01
4.186978297161936702e+00,5.567999978715099108e-01
4.196994991652754692e+00,5.567999961177514390e-01
4.207011686143572682e+00,5.567999929189928476e-01
4.217028380634390672e+00,5.567999870846332966e-01
4.227045075125208662e+00,5.567999764430836551e-01
4.237061769616026652e+00,5.567999570334847270e-01
4.247078464106844642e+00,5.567999216314496458e-01
4.257095158597662632e+00,5.567998570601008224e-01
4.267111853088480622e+00,5.567997392855584815e-01
4.277128547579298612e+00,5.567995244714137870e-01
4.287145242070116602e+00,5.567991326626824389e-01
4.297161936560934592e+00,5.567984180265747041e-01
4.307178631051752582e+00,5.567971145744324835e-01
4.317195325542570572e+00,5.567947371652935962e-01
4.327212020033388562e+00,5.567904009543627186e-01
4.337228714524206552e+00,5.567824921185912102e-01
4.347245409015024542e+00,5.567680674167297949e-01
4.357262103505843420e+00,5.567417594804437986e-01
4.367278797996661410e+00,5.566937816570766140e-01
4.377295492487479400e+00,5.566062940445209994e-01
4.387312186978297390e+00,5.564467922598010929e-01
4.397328881469115380e+00,5.561561050980295962e-01
4.407345575959933370e+00,5.556266891550650788e-01
4.417362270450751360e+00,5.546636549240306913e-01
4.427378964941569350e+00,5.529157039022821740e-01
4.437395659432387340e+00,5.497557478858368096e-01
4.447412353923205330e+00,5.440842215515325764e-01
4.457429048414023320e+00,5.340354727833296344e-01
4.467445742904841310e+00,5.166318856424704231e-01
4.477462437395659300e+00,4.876460965790062607e-01
4.487479131886477290e+00,4.423764003854898097e-01
4.497495826377295280e+00,3.783185737043144869e-01
4.507512520868113270e+00,2.992756003153091982e-01
4.517529215358931260e+00,2.166966289093119613e-01
4.527545909849749250e+00,1.441491913355481269e-01
4.537562604340567241e+00,8.949836504362419787e-02
4.547579298831385231e+00,5.291044879849950144e-02
4.557595993322203221e+00,3.030990591175242513e-02
4.567612687813021211e+00,1.703672097661291379e-02
4.577629382303840089e+00,9.471505700223861388e-03
4.587646076794658079e+00,5.233081140591233638e-03
4.597662771285476069e+00,2.881333640735675265e-03
4.607679465776294059e+00,1.583427784092975759e-03
4.617696160267112049e+00,8.692502583287015430e-04
4.627712854757930039e+00,4.769133792253402366e-04
4.637729549248748029e+00,2.615747804300614363e-04
4.647746243739566019e+00,1.434420012966427247e-04
4.657762938230384009e+00,7.865297815480509715e-05
4.667779632721201999e+00,4.312520544585573981e-05
4.677796327212019989e+00,2.364474658162514108e-05
4.687813021702837979e+00,1.296376907561658072e-05
4.697829716193655969e+00,7.107619094908201806e-06
4.707846410684473959e+00,3.896861235490333822e-06
4.717863105175291949e+00,2.136508404356618439e-06
4.727879799666109939e+00,1.171368793197657787e-06
4.737896494156927929e+00,6.422178225335528596e-07
4.747913188647745919e+00,3.521039291214833130e-07
4.757929883138563909e+00,1.930453241186569312e-07
4.767946577629381899e+00,1.058394675006013545e-07
4.777963272120199889e+00,5.802778255130646680e-08
4.787979966611017879e+00,3.181444025344148667e-08
4.797996661101836757e+00,1.744265494920682423e-08
4.808013355592654747e+00,9.563148229574380606e-09
4.818030050083472737e+00,5.243112560648910298e-09
4.828046744574290727e+00,2.874600348690137257e-09
4.838063439065108717e+00,1.576034671302295274e-09
4.848080133555926707e+00,8.640802079185050228e-10
4.858096828046744697e+00,4.737425246759130537e-10
4.868113522537562687e+00,2.597351176802931024e-10
4.878130217028380677e+00,1.424029470342702437e-10
4.888146911519198667e+00,7.807415727256738283e-11
4.898163606010016657e+00,4.280511625154303629e-11
4.908180300500834647e+00,2.346841228018092567e-11
4.918196994991652637e+00,1.286685211709936963e-11
4.928213689482470627e+00,7.054395467775974958e-12
4.938230383973288617e+00,3.867656062084279390e-12
4.948247078464106607e+00,2.120485120826742541e-12
4.958263772954924598e+00,1.162596419135297606e-12
4.968280467445742588e+00,6.373973349127481435e-13
4.978297161936560578e+00,3.494527334169105870e-13
4.988313856427378568e+00,1.916024672254934314e-13
4.998330550918196558e+00,1.050583620099132434e-13
5.008347245409014548e+00,5.758273857736639263e-14
5.018363939899833426e+00,3.158859840368677070e-14
5.028380634390651416e+00,1.730882104311604012e-14
5.038397328881469406e+00,9.488942964708256539e-15
5.048414023372287396e+00,5.192646312934811406e-15
5.058430717863105386e+00,2.843592028511920945e-15
5.068447412353923376e+00,1.576339059283782203e-15
5.078464106844741366e+00,8.654410521558019668e-16
5.088480801335559356e+00,4.636291350834653886e-16
5.098497495826377346e+00,2.472688720445148476e-16
5.108514190317195336e+00,1.236344360222574238e-16
5.118530884808013326e+00,6.181721801112871191e-17
5.128547579298831316e+00,3.090860900556435596e-17
5.138564273789649306e+00,3.090860900556435596e-17
5.148580968280467296e+00,0.000000000000000000e+00
5.158597662771285286e+00,0.000000000000000000e+00
5.168614357262103276e+00,0.000000000000000000e+00
5.178631051752921266e+00,0.000000000000000000e+00
5.188647746243739256e+00,0.000000000000000000e+00
5.198664440734557246e+00,0.000000000000000000e+00
5.208681135225375236e+00,0.000000000000000000e+00
5.218697829716193226e+00,0.000000000000000000e+00
5.228714524207011216e+00,0.000000000000000000e+00
5.238731218697829206e+00,0.000000000000000000e+00
5.248747913188648084e+00,0.000000000000000000e+00
5.258764607679466074e+00,0.000000000000000000e+00
5.268781302170284064e+00,0.000000000000000000e+00
5.278797996661102054e+00,0.000000000000000000e+00
5.288814691151920044e+00,0.000000000000000000e+00
5.298831385642738034e+00,0.000000000000000000e+00
5.308848080133556024e+00,0.000000000000000000e+00
5.318864774624374014e+00,0.000000000000000000e+00
5.328881469115192004e+00,0.000000000000000000e+00
5.338898163606009994e+00,0.000000000000000000e+00
5.348914858096827984e+00,0.000000000000000000e+00
5.358931552587645974e+00,0.000000000000000000e+00
5.368948247078463964e+00,0.000000000000000000e+00
5.378964941569281955e+00,0.000000000000000000e+00
5.388981636060099945e+00,0.000000000000000000e+00
5.398998330550917935e+00,0.000000000000000000e+00
5.409015025041735925e+00,0.000000000000000000e+00
5.419031719532553915e+00,0.000000000000000000e+00
5.429048414023371905e+00,0.000000000000000000e+00
5.439065108514189895e+00,0.000000000000000000e+00
5.449081803005007885e+00,0.000000000000000000e+00
5.459098497495825875e+00,0.000000000000000000e+00
5.469115191986644753e+00,0.000000000000000000e+00
5.479131886477462743e+00,0.000000000000000000e+00
5.489148580968280733e+00,0.000000000000000000e+00
5.499165275459098723e+00,0.000000000000000000e+00
5.509181969949916713e+00,0.000000000000000000e+00
5.519198664440734703e+00,0.000000000000000000e+00
5.529215358931552693e+00,0.000000000000000000e+00
5.539232053422370683e+00,0.000000000000000000e+00
5.549248747913188673e+00,0.000000000000000000e+00
5.559265442404006663e+00,0.000000000000000000e+00
5.569282136894824653e+00,0.000000000000000000e+00
5.579298831385642643e+00,0.000000000000000000e+00
5.589315525876460633e+00,0.000000000000000000e+00
5.599332220367278623e+00,0.000000000000000000e+00
5.609348914858096613e+00,0.000000000000000000e+00
5.619365609348914603e+00,0.000000000000000000e+00
5.629382303839732593e+00,0.000000000000000000e+00
5.639398998330550583e+00,0.000000000000000000e+00
5.649415692821368573e+00,0.000000000000000000e+00
5.659432387312186563e+00,0.000000000000000000e+00
5.669449081803004553e+00,0.000000000000000000e+00
5.679465776293822543e+00,0.000000000000000000e+00
5.689482470784641421e+00,0.000000000000000000e+00
5.699499165275459411e+00,0.000000000000000000e+00
5.709515859766277401e+00,0.000000000000000000e+00
5.719532554257095391e+00,0.000000000000000000e+00
5.729549248747913381e+00,0.000000000000000000e+00
5.739565943238731371e+00,0.000000000000000000e+00
5.749582637729549361e+00,0.000000000000000000e+00
5.759599332220367351e+00,0.000000000000000000e+00
5.769616026711185341e+00,0.000000000000000000e+00
5.779632721202003331e+00,0.000000000000000000e+00
5.789649415692821321e+00,0.000000000000000000e+00
5.799666110183639312e+00,0.000000000000000000e+00
5.809682804674457302e+00,0.000000000000000000e+00
5.819699499165275292e+00,0.000000000000000000e+00
5.829716193656093282e+00,0.000000000000000000e+00
5.839732888146911272e+00,0.000000000000000000e+00
5.849749582637729262e+00,0.000000000000000000e+00
5.859766277128547252e+00,0.000000000000000000e+00
5.869782971619365242e+00,0.000000000000000000e+00
5.879799666110183232e+00,0.000000000000000000e+00
5.889816360601001222e+00,0.000000000000000000e+00
5.899833055091819212e+00,0.000000000000000000e+00
5.909849749582638090e+00,0.000000000000000000e+00
5.919866444073456080e+00,0.000000000000000000e+00
5.929883138564274070e+00,0.000000000000000000e+00
5.939899833055092060e+00,0.000000000000000000e+00
5.949916527545910050e+00,0.000000000000000000e+00
5.959933222036728040e+00,0.000000000000000000e+00
5.969949916527546030e+00,0.000000000000000000e+00
5.979966611018364020e+00,0.000000000000000000e+00
5.989983305509182010e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
